id,name,link_url,image,date_created
27,dueling blue,,images/promotions/duelingblue.JPG,2018-02-17 19:05:16.830053+00:00
16,Western Background,,images/promotions/western_backgroun.jpg,2017-12-28 23:00:25.041358+00:00
18,Bedswing Jacquards,,images/promotions/IMG_3609.jpg,2017-12-28 23:03:22.720974+00:00
20,Single Blue,,images/promotions/IMG_0864.JPG,2017-12-28 23:05:42.893884+00:00
21,Jacquards Fan,,images/promotions/IMG_5133.jpg,2017-12-28 23:06:29.587589+00:00
22,Piping Option,,images/promotions/piping-options.jpg,2017-12-28 23:11:12.314765+00:00
23,Mahogany M Pillow,,images/promotions/mahogany-m-pillow..jpg,2017-12-28 23:11:48.258810+00:00
24,Fire Place,,images/promotions/fire-place.jpg,2017-12-28 23:12:16.008743+00:00
25,Favorite Bedswing,,images/promotions/CSD_Ad_I_2014_Charleston_Bedswings_117901.jpg,2018-02-17 18:56:11.151530+00:00
26,Profile Bedswing,,images/promotions/profilebedswing.jpg,2018-02-17 19:04:47.224208+00:00
